Comment,Sentiment,text_length,clean_text
This one kept giving me chills!,Positive,31,one kept giving chills
UNDER HOUR CLUB,Neutral,15,hour club
crore views in days,Positive,19,crore views days
million in hours is crazy,Positive,25,million hours crazy
I love nolans mom,Neutral,17,love nolans mom
Did this video remind anyone else of Fear Factor?,Neutral,49,video remind anyone else fear factor
Hey Mrbeast quick question i do love your videos can I get a cookie.,Positive,68,hey mrbeast quick question love videos get cookie
Next challenge should be days in haunted house,Neutral,46,next challenge days haunted house
This is by far the craziest video out your whole life,Positive,53,far craziest video whole life
Yeah,Neutral,4,yeah
This is one of the most epic challenges I've ever seen,Positive,54,one epic challenges ive ever seen
Next challenge - tree planting,Neutral,30,next challenge tree planting
days living without technology.,Neutral,31,days living without technology
Do challenge Messi and Cristiano Ronaldo in one room days.,Neutral,58,challenge messi cristiano ronaldo one room days
best moment,Positive,11,best moment
All those who want to be on the next video here,Neutral,47,want next video
use trigonometry,Neutral,16,use trigonometry
"Bro, the fishes are happy to have so much money",Neutral,47,bro fishes happy much money
FREE PALESTINE,Neutral,14,free palestine
Great vidio,Positive,11,great vidio
million views in hours is wild,Positive,30,million views hours wild
he already won the challenge,Positive,28,already challenge
was crazy,Positive,9,crazy
World Biggest YouTubeer Mrbeast,Positive,31,world biggest youtubeer mrbeast
The put him out put him out part,Neutral,32,put put part
Bro is so jacked,Positive,16,bro jacked
Any fellow doodling fans on this page?,Neutral,38,fellow doodling fans page
is crazy,Positive,8,crazy
Thanks you,Positive,10,thanks
It's such 'Fear Factor',Neutral,23,fear factor
that canon is crazy,Positive,19,canon crazy
I couldn't survive there,Positive,24,couldnt survive
Love u BEAST..,Positive,14,love u beast
He is amazing he deserved that money,Positive,36,amazing deserved money
Is it me or this is actually insane?,Positive,36,actually insane
"Survive the World’s Largest Escape Room, how bout that for a challenge",Neutral,70,survive worlds largest escape room bout challenge
Mrbeast plz do potatoes challenge plz,Neutral,37,mrbeast plz potatoes challenge plz
When are we getting streamers VS YouTubers,Neutral,42,getting streamers vs youtubers
Do a challehge where someone has to quit smoking,Neutral,48,challehge someone quit smoking
Jimmy’s casually bringing couples back together,Positive,47,jimmys casually bringing couples back together
"this is the perfect balance of happiness, sadness, comedy, and randomness, absolute cinema.",Positive,91,perfect balance happiness sadness comedy randomness absolute cinema
"Josh wants sunlight. Suzie ""no but the chain will be only feet!"" Suzie wants a Tesla. Josh ""no worries we can do feet!""",Negative,119,josh wants sunlight suzie chain feet suzie wants tesla josh worries feet
Buying a Motorcycle after a breakup is the realest thing to do lol,Neutral,66,buying motorcycle breakup realest thing lol
THAT ENDING WAS CINEMA,Positive,22,ending cinema
"This was the most beautiful ending, one, chain brought them back together after three years, how beautiful",Positive,106,beautiful ending one chain brought back together three years beautiful
Bro was menace throughout the entire video,Neutral,42,bro menace throughout entire video
Mans had to read a book to understand the cues from ex of years,Neutral,63,mans read book understand cues ex years
finally happy ending,Positive,20,finally happy ending
"They get a ton of money and a relationship, life couldn’t get any better",Positive,72,get ton money relationship life couldnt get better
"""Money can't buy love."" Mrbeast:",Neutral,32,money cant buy love mrbeast
It's so heartwarming to see them together again!,Positive,48,heartwarming see together
"Moral of the video: communication, understanding is important in a relationship.",Positive,80,moral video communication understanding important relationship
bro was rage baiting her,Negative,24,bro rage baiting
"That was the sweetest ending, the whole video was a roller coaster of emotions, sadness, happiness, comedy. Absolute Cinema.",Positive,124,sweetest ending whole video roller coaster emotions sadness happiness comedy absolute cinema
This ending was so sweet,Positive,24,ending sweet
They: Me: You:,Neutral,14,
"Do a challenge where you have three addicts, one to smoking, one to drinking, and one to videogames and have them all work together to see if they can survive without them for days",Neutral,180,challenge three addicts one smoking one drinking one videogames work together see survive without days
I actually thought Josh was a supervillain for a sec,Neutral,52,actually thought josh supervillain sec
"""This shows that people can do anything for money. It also shows that there’s nothing money can’t do. And it proves that money is above all power.""",Negative,147,shows people anything money also shows theres nothing money cant proves money power
"Getting ex couple together and locking them up,thats crazy",Positive,58,getting ex couple together locking upthats crazy
“Babe don’t get insecure he’s just an ex” The ex:,Neutral,49,babe dont get insecure hes ex ex
I'm actually really happy for them. I hope they stay together,Positive,61,im actually really happy hope stay together
This is so wholesome,Positive,20,wholesome
"This was probably one of the most interesting videos you've made, it's cool how they kind of created the plot and you were just there givng them stuff to do so.",Positive,160,probably one interesting videos youve made cool kind created plot givng stuff
This really makes you wonder how many broken up couples would get back together if given the time and space.,Neutral,108,really makes wonder many broken couples would get back together given time space
Sometimes love takes a break just to prove it was strong enough to return.,Positive,74,sometimes love takes break prove strong enough return
The best video that i saw in few years make me cry,Positive,50,best video saw years make cry
Lock someone up with their crush next,Neutral,37,lock someone crush next
"Bro went from gaslighting, to getting help, to fixing himself all in days, kudos to them, he won more than just money.",Positive,118,bro went gaslighting getting help fixing days kudos money
Josh is ragebaiting her so hard,Negative,31,josh ragebaiting hard
Bro gone through character development throughout the whole video,Positive,65,bro gone character development throughout whole video
Let's agree that the only reason to watch the full video is to see whether they became a couple again,Neutral,101,lets agree reason watch full video see whether became couple
DO NOT TEXT YOUR EXES!!,Neutral,23,text exes
I stay for life,Neutral,15,stay life
This is Josh’s redemption arc,Positive,29,joshs redemption arc
Josh’s motorcycle… sacrificed for love again,Positive,44,joshs motorcycle sacrificed love
Nah both of them just trolling each other is gold fr,Positive,52,nah trolling gold fr
"years not seeing eachother and the first thing bro said was ""What's up dude?""",Neutral,77,years seeing eachother first thing bro said whats dude
THE REUNION OF COUPLES,Positive,22,reunion couples
"Can you lock me in one of these rooms for days so I can quit smoking , vaping, and drinking??",Neutral,93,lock one rooms days quit smoking vaping drinking
Bro has surpassed the level of crazy challenges. He is now making brutal plots. I thought he would take revenge and take the money.,Positive,131,bro surpassed level crazy challenges making brutal plots thought would take revenge take money
This is one of the best social experiments I have ever experienced,Positive,66,one best social experiments ever experienced
The Best Episode of All Time,Positive,28,best episode time
I love that Majd is in the videos more and more! He's so awesome!,Positive,65,love majd videos hes awesome
"she was willing to cut the chain to feet and lose $, to open a mystery door, but wouldn't shorten the chain to ft for bros mental health lmao",Negative,141,willing cut chain feet lose open mystery door wouldnt shorten chain ft bros mental health lmao
Nolan bro staring at them kiss,Neutral,30,nolan bro staring kiss
The ultimate test for any relationship: a -foot chain and a shared bathroom schedule,Neutral,84,ultimate test relationship foot chain shared bathroom schedule
Bro was roasting her the whole video,Neutral,36,bro roasting whole video
Mrbeast legendary assist,Positive,24,mrbeast legendary assist
"The crazy part isn’t just the money, it’s how much creativity and effort goes into these challenges. Absolute legend",Positive,116,crazy part isnt money much creativity effort goes challenges absolute legend
The setting is so fun!,Positive,22,setting fun
"'i was around you for years for free, i can be a little closer for k' absolute chad LMAO",Positive,88,around years free little closer k absolute chad lmao
Proof that money can bring happiness,Positive,36,proof money bring happiness
The ending is so heartwarming,Positive,29,ending heartwarming
Bro made sure that they don't overcome their past relationship...,Negative,65,bro made sure dont overcome past relationship
He found the perfect ex couple to do this with because they were both WAY too enthusiastic about this bro,Positive,105,found perfect ex couple way enthusiastic bro
Speed chained with kai in this room.,Neutral,36,speed chained kai room
I volunteer for the quit smoking challenge !! Been trying to quit for years,Neutral,75,volunteer quit smoking challenge trying quit years
"“Yk what’s crazy , you “ is wild",Neutral,32,yk whats crazy wild
Aloo is on top,Neutral,14,aloo top
the motorcycle part sent me,Positive,27,motorcycle part sent
We want to challenge a teenager days without technology.,Neutral,56,want challenge teenager days without technology
You fed me = happy woman,Neutral,24,fed happy woman
Bro is really very big and kind hearted,Positive,39,bro really big kind hearted
Chandler is literally everyones favourite,Positive,41,chandler literally everyones favourite
Caught your lonely ahh smiling,Neutral,30,caught lonely ahh smiling
Nice Video < !,Positive,14,nice video
Aloo is the winner,Neutral,18,aloo winner
This made me almost tear up. Hard hitting. I love this video,Positive,60,made almost tear hard hitting love video
this is very big,Neutral,16,big
WW: assassination WW: failed artist WW: Tareq's adhd,Neutral,52,ww assassination ww failed artist ww tareqs adhd
The production quality is very impressive It helped me understand better.,Positive,73,production quality impressive helped understand better
Been following Colin Furze for years and think it’s awesome that he got a feature! What he can build is mind blowing,Positive,116,following colin furze years think awesome got feature build mind blowing
its impressive that they were even able to get access to cheyenne,Positive,65,impressive even able get access cheyenne
The military is so kind to support small content creators,Positive,57,military kind support small content creators
English: Will you eat potato Hindi: Aalu Khaoge,Neutral,47,english eat potato hindi aalu khaoge
"I've lived in Colorado for years, always wanted to see whats inside Cheyenne Mountain. Incredible!",Positive,98,ive lived colorado years always wanted see whats inside cheyenne mountain incredible
I work in the Cheyenne Mountain complex. This video was a great example of how much more money the government has. The Complex is actually a lot bigger than what it shows in the video.,Neutral,184,work cheyenne mountain complex video great example much money government complex actually lot bigger shows video
ryan trahan's days series nostalgia (missle silo),Positive,49,ryan trahans days series nostalgia missle silo
The production quality is worth sharing I will come back to watch it again.,Positive,75,production quality worth sharing come back watch
The military is so kind to support creators,Positive,43,military kind support creators
The Cheyenne one is just absolutely crazy. Stargate vibes but even better !,Positive,75,cheyenne one absolutely crazy stargate vibes even better
Under hour gang k,Neutral,17,hour gang k
that British accent is W,Positive,24,british accent w
a blast from the past,Positive,21,blast past
Colin Furze is awesome .And the decommissioned missile silo is really cool,Positive,74,colin furze awesome decommissioned missile silo really cool
Ryan and Haley did the Jammy time there,Neutral,39,ryan haley jammy time
The way you present is very impressive I will come back to watch it again.,Positive,74,way present impressive come back watch
bro just casually has a junk jet,Neutral,32,bro casually junk jet
"Bro has the courage to ask about UFOs, glad they made it out alive!",Neutral,67,bro courage ask ufos glad made alive
"Colin Furze is not preparing for nuclear fallout , he is prepping for a zombie apocalypse",Neutral,89,colin furze preparing nuclear fallout prepping zombie apocalypse
The editing is very impressive I learned a lot from it.,Positive,55,editing impressive learned lot
So far the craziest vid I've seen...lol,Positive,39,far craziest vid ive seenlol
"Colin F'ing Furze, what a legend!!!!!",Positive,37,colin fing furze legend
Tareq could’ve started ww,Neutral,25,tareq couldve started ww
I just love how the military agreed to help out small creators!,Positive,63,love military agreed help small creators
"Nice to see Colin there, been following him for years",Positive,53,nice see colin following years
I love helping small creators,Neutral,29,love helping small creators
This video is underrated I will definitely recommend this.,Positive,58,video underrated definitely recommend
I'm honestly surprised they were able to even get past the front door of Cheyenne mountain... that's CRAZYYY!!!! ONE OF THE MOST SECURED FACILITIES ON THE PLANET!,Positive,162,im honestly surprised able even get past front door cheyenne mountain thats crazy one secured facilities planet
Full on Ryan Trahan airBnB,Positive,26,full ryan trahan airbnb
"Bro's evolved, he's in the billions now",Positive,39,bros evolved hes billions
The Cheyenne Mountain complex and the base used for the Stargate SG series are incredible.,Positive,90,cheyenne mountain complex base used stargate sg series incredible
bro is getting ready for zombie apocalypse,Neutral,42,bro getting ready zombie apocalypse
“even though Christmas was months ago.” While the captions say . That’s kinda funny.,Neutral,84,even though christmas months ago captions say thats kinda funny
This performance is exactly what I needed It helped me understand better.,Positive,73,performance exactly needed helped understand better
this is one of the Airbnb’s that Ryan Trahan stayed in for the states in days series,Neutral,84,one airbnbs ryan trahan stayed states days series
COLIN FURZE NO WAY,Positive,18,colin furze way
The military Is so nice enough to support small content creators.,Positive,65,military nice enough support small content creators
The editing is outstanding I will come back to watch it again.,Positive,62,editing outstanding come back watch
The Mill one brought back Memories,Positive,34,mill one brought back memories
Bro just casually says “that’s definitely not a UFO”,Neutral,52,bro casually says thats definitely ufo
I love helping and supporting small creators,Positive,44,love helping supporting small creators
Too much,Positive,8,much
bro that’s where ryan trahan stayed,Neutral,35,bro thats ryan trahan stayed
The Cheyenne two is just absolutely crazy. Stargate vibes but even better!,Positive,74,cheyenne two absolutely crazy stargate vibes even better
"Was great to see Colin in your video, been following him for years!! Awesome creator and builder.",Positive,97,great see colin video following years awesome creator builder
OH THE FLASHBACKS,Positive,17,oh flashbacks
THANKYOU FOR GIVING COLIN THE GOAT SO MUCH SCREEN TIME !!!!,Positive,59,thankyou giving colin goat much screen time
Look at Jimmy's Face,Neutral,20,look jimmys face
nostalgic,Positive,9,nostalgic
I love how they include him in videos now,Positive,41,love include videos
- but ses after,Neutral,15,ses
Crazy,Positive,5,crazy
Tareq's face,Neutral,12,tareqs face
"Next video: $ nuclear bomb vs $,,,, nuclear bomb",Neutral,48,next video nuclear bomb vs nuclear bomb
"Happy to see Colin furze,been following for years. The things that he can build is mind blowing",Positive,95,happy see colin furzebeen following years things build mind blowing
Lol container,Neutral,13,lol container
Lets support these small creators!,Neutral,34,lets support small creators
“TIME FOR HUGGIES!”,Neutral,19,time huggies
"omg Ryan trahan was there, it’s an airbnb",Neutral,41,omg ryan trahan airbnb
That was a Blast from the Past and great seeing Colin Furze.,Positive,60,blast past great seeing colin furze
"""i think its lower yeah"" ",Positive,25,think lower yeah
That's what you went in in the old videos,Positive,41,thats went old videos
Nolan's face loll,Neutral,17,nolans face loll
"Missed opportunity, shoulda asked where the stargate was.",Neutral,57,missed opportunity shoulda asked stargate
kaboom it is what it is,Neutral,23,kaboom
proud of Ian for doing the right thing. he earned a friend for life.,Positive,68,proud ian right thing earned friend life
Mrbeast really out here creating the most beautiful friendships and changing lives.,Positive,83,mrbeast really creating beautiful friendships changing lives
"Once again, we have shown that friendship is the best",Positive,53,shown friendship best
Yooooo the set is,Positive,17,yo set
This was INSANELY hard,Neutral,22,insanely hard
Bro these videos are the difference between wild and borderline INSANE!,Positive,71,bro videos difference wild borderline insane
"Ian was so smart with reading the book about rocks, definitely helped A LOT. Lenny put in the hard work too. They both were so smart, I underestimated Ian. He's great at drawing and he's an empath",Positive,196,ian smart reading book rocks definitely helped lot lenny put hard work smart underestimated ian hes great drawing hes empath
"With the library, I'm glad Ian did what he did. I was going to say: since only one book was desired by Lenny, Ian couldve compromised by reading the Bible to him through the door once or twice a week. Transcribing it to paper was even better.",Positive,242,library im glad ian going say since one book desired lenny ian couldve compromised reading bible door twice week transcribing paper even better
It's impressive how they both respected each others spiritual beliefs!!,Positive,71,impressive respected others spiritual beliefs
Making smokers/alcoholics survive in a house for days without cigs and alcohols,Neutral,79,making smokersalcoholics survive house days without cigs alcohols
"The videos are getting more & more insane, but we love it",Positive,57,videos getting insane love
the part where they had to find a solution in the library and apply that knowledge to break the rock faster was incredible,Positive,122,part find solution library apply knowledge break rock faster incredible
or am???,Neutral,8,
The rock challenge was so exciting 'TEAM WORK IS THE KEY',Positive,57,rock challenge exciting team work key
This stuff restores faith in humanity,Positive,37,stuff restores faith humanity
Be there or be square...,Neutral,24,square
The great youTuber in the universe,Positive,34,great youtuber universe
Dude... the last challenge is brutal. Imagine being in that position.,Neutral,69,dude last challenge brutal imagine position
Ian learned from the past. Love him for that.,Positive,45,ian learned past love
And that's how friends are made hah,Positive,35,thats friends made hah
w sophie for the m donation!,Positive,28,w sophie donation
very happy for both of them. they are now the best of buddies,Positive,61,happy best buddies
It shows how much they needed a friendship and that people these days have to value it because it is harder to make friends because most people wouldve taken it,Positive,160,shows much needed friendship people days value harder make friends people wouldve taken
Proud of you both,Positive,17,proud
the villan arc,Neutral,14,villan arc
"Humanity still exists, love this video.",Positive,39,humanity still exists love video
"I was worried about the finale, but I'm so glad that they didn't betray each other",Positive,82,worried finale im glad didnt betray
"Sometimes success isn’t about talent, it’s about endurance. This video shows it perfectly.",Positive,90,sometimes success isnt talent endurance video shows perfectly
Lowk I understand Ian's frustration because Lenny had no issue having the books until that challenge was mentioned Ian was trying to be helpful,Neutral,143,lowk understand ians frustration lenny issue books challenge mentioned ian trying helpful
Plot twist: the $k goes straight to bail,Neutral,40,plot twist k goes straight bail
"man if i was locked in there being able to play only tetris and minesweeper, i would prepare to become tetris champion lol",Neutral,122,man locked able play tetris minesweeper would prepare become tetris champion lol
editors were edging us bruh,Neutral,27,editors edging us bruh
The production is top-notch.,Positive,28,production topnotch
Ian got a life sentence when it comes to getting a friend.,Positive,58,ian got life sentence comes getting friend
Proud of lan for doing the right. he earned a friend for life.,Positive,62,proud lan right earned friend life
say that again…,Neutral,15,say
……… don’t… do.. it….. '!!!!!!!!!!!!,Neutral,35,dont
Him bringing out bible versus was amazing,Positive,41,bringing bible versus amazing
I'm a corrections officer and that set was pretty legit. Awesome video as always!!,Positive,82,im corrections officer set pretty legit awesome video always
Proud of lan for doing that right thing earned a friend for life,Positive,64,proud lan right thing earned friend life
Those two are now brothers for life you can see it in their eyes and that's just amazing to me,Positive,94,two brothers life see eyes thats amazing
Bro using the book from the library to destroy the rock was genius,Positive,66,bro using book library destroy rock genius
No. youtuber in the world. Unbeatable.,Positive,38,youtuber world unbeatable
Be THERE or be SQUAREE!!..,Neutral,26,squaree
"""I love this video"" ",Neutral,20,love video
nice handshake,Positive,14,nice handshake
W Production,Positive,12,w production
Speed Core:,Neutral,11,speed core
Ian has gained a loyal friend for life,Positive,38,ian gained loyal friend life
I'd love to do one of these type of these challenges!,Neutral,53,id love one type challenges
I don't think people understand how long days actually is because of short this video is. months and days. That's insane,Neutral,120,dont think people understand long days actually short video months days thats insane
SIX SEVEN,Neutral,9,six seven
Bro got dawged I think,Neutral,22,bro got dawged think
These videos just gets crazier and crazier,Positive,42,videos gets crazier crazier
The exPrisoner is definitely The OG of this challenge,Neutral,53,exprisoner definitely og challenge
IT VERY FUNNY YOUR STYLE OF VIDEO I LOVE THAT,Positive,45,funny style video love
OMG THIS CHALLENGE WAS BRUTAL!!! Glad that Ian did the right thing by not stealing all the money.,Positive,97,omg challenge brutal glad ian right thing stealing money
ABSOLUTE CINEMA,Positive,15,absolute cinema
the cloak of invisibility,Neutral,25,cloak invisibility
The vocals are stunning.,Neutral,24,vocals stunning
days with old people in a gaming room and young people in a room with rocking chairs,Neutral,84,days old people gaming room young people room rocking chairs
Glad Chandlers back.,Positive,20,glad chandlers back
"The videos are getting more more insane, but we love it",Positive,55,videos getting insane love
this is the first time i’ve been able to watch a mrbeast video so early,Neutral,71,first time ive able watch mrbeast video early
mustard? mango? is that you?,Neutral,28,mustard mango
Epic video! W MRBEAST!,Positive,22,epic video w mrbeast
one of the best mrbeast video for a while,Positive,41,one best mrbeast video
is literally the reason why it is important that we read books,Positive,62,literally reason important read books
What if you put a student and a teacher together for days,Neutral,57,put student teacher together days
happy ending,Positive,12,happy ending
dollar prisoner vs million dollar prisoner,Neutral,42,dollar prisoner vs million dollar prisoner
These videos just get crazier and crazier...,Positive,44,videos get crazier crazier
boi is that a reference?!? tuff,Neutral,31,boi reference tuff
They stuck together I’m so happy for them both,Positive,46,stuck together im happy
BEE THERE OR BEE SQUARE,Neutral,23,bee bee square
"There were many lessons in this video. Patience, caring, unselfishness, etc. Thanks",Positive,83,many lessons video patience caring unselfishness etc thanks
"I am always wondering, if taking all the money and splitting it after the video is allowed? It would make so much sense so often...",Neutral,131,always wondering taking money splitting video allowed would make much sense often
This is one the greatest video from mrbeast i have ever seen,Positive,60,one greatest video mrbeast ever seen
- mango mustard,Neutral,15,mango mustard
$ could make me free from poverty.This is insane bro,Neutral,52,could make free povertythis insane bro
Insane challenge. Either could have betrayed the other. And they didn’t. Love it!,Positive,81,insane challenge either could betrayed didnt love
bro did him dirty,Neutral,17,bro dirty
"Nice to see, they bonded, friends for life.",Positive,43,nice see bonded friends life
Jimmy's new videos have been awesome,Positive,36,jimmys new videos awesome
Just a great man changing life of people in need!,Positive,49,great man changing life people need
Happy ending,Positive,12,happy ending
what stops them from stealing all the prize money ending the challenge then sharing the half afterwards?,Neutral,104,stops stealing prize money ending challenge sharing half afterwards
I'm so glad Ian and Lenny were so selfless,Positive,42,im glad ian lenny selfless
Honestly love them both definitely should be brought back for future challenges!,Positive,80,honestly love definitely brought back future challenges
Eh proud of Ian for doing the right thing. Now he’s earned a friend for life and that’s priceless.,Positive,98,eh proud ian right thing hes earned friend life thats priceless
What a beautiful friendship,Positive,27,beautiful friendship
"How he stealth, he's really talented lol",Neutral,40,stealth hes really talented lol
Mrbeast can do anything to people as long as money is involved,Negative,62,mrbeast anything people long money involved
this man knows how to deescalate a problem.,Positive,43,man knows deescalate problem
Nice to see Chandler,Positive,20,nice see chandler
Ian’s hair grew so much since he shaved it,Neutral,42,ians hair grew much since shaved
WAIT EVERY SATURDAY??? WE GETTING WEEKLY UPLOADS FROM THE BEASTTTTTTTTTTTTTTTTT!!!!!!!!,Positive,87,wait every saturday getting weekly uploads beast
Proud to be involved,Positive,20,proud involved
So happy to have been a part of this,Positive,36,happy part
Thank all for making a difference in the world with team water im happy to be a part of it! :),Positive,94,thank making difference world team water im happy part
Changing the world with Team Water!,Positive,35,changing world team water
Proud to be a part of this one <,Positive,32,proud part one
Thank you for what you are doing. Getting all these people involved to help solve the worlds problems.,Positive,102,thank getting people involved help solve worlds problems
Thanks for making a difference!,Positive,31,thanks making difference
"Every donation, no matter how small, makes a big difference.",Positive,60,every donation matter small makes big difference
This was the most friendly teamwork I’ve ever seen :D,Positive,53,friendly teamwork ive ever seen
Your influence changes someone's life,Positive,37,influence changes someones life
"Congratulations to all of you. Orkun, you are our pride and joy.",Positive,64,congratulations orkun pride joy
Team Water is a great initiative,Positive,32,team water great initiative
congratulations on the excellent initiative,Positive,43,congratulations excellent initiative
PROUD TO BE APART OF THIS JOURNEY <,Positive,35,proud apart journey
So happy to be apart of this and help out,Positive,41,happy apart help
Thankful to be part of this incredible project!,Positive,47,thankful part incredible project
It was a pleasure!!!Team Water,Positive,30,pleasureteam water
TEAM WATER,Positive,10,team water
I donated today! I’m super excited about giving,Positive,47,donated today im super excited giving
A Man with Diamond Heart,Positive,24,man diamond heart
I admire the determination it took to achieve this. So proud of you!,Positive,68,admire determination took achieve proud
", you're not just a YouTuber, you're a legend! Thanks for changing lives every",Positive,78,youre youtuber youre legend thanks changing lives every
Thank you team water,Positive,20,thank team water
I'm proud that I was able to be one of the creators to help out,Positive,63,im proud able one creators help
thank you so much for inviting me to help support the cause!,Positive,60,thank much inviting help support cause
You guys are the reason why I still hope for humanity!!,Positive,55,guys reason still hope humanity
"Thank you for including this beautiful project with us, cheers to the mrbeast water team!",Positive,89,thank including beautiful project us cheers mrbeast water team
TEAMWATER!,Positive,10,teamwater
Glad to be a part of this..Thanks.,Positive,34,glad part thisthanks
i really love you,Positive,17,really love
Government Creators,Positive,19,government creators
So happy to be joining you in this!,Positive,35,happy joining
He helps more than the government. What a hero!,Positive,47,helps government hero
We made the right person popular,Positive,32,made right person popular
Woo hoo!! Honored to be a part of Team Water!!,Positive,46,woo hoo honored part team water
"Do a challehge where someone has to quit an addiction, this can be a series",Neutral,75,challehge someone quit addiction series
LOVE THIS!,Positive,10,love
Just a beginner here ! But still I will try to contribute as much as I can,Positive,74,beginner still try contribute much
Truly honored to be a part of this,Positive,34,truly honored part
We made the right person famous,Positive,31,made right person famous
Yeah we made the right person famous.,Positive,37,yeah made right person famous
An Absolute Legend,Positive,18,absolute legend
I love to see many YouTubers come together and help the world,Positive,61,love see many youtubers come together help world
THANK YOU FOR HELPING ALL OF THOSE PEOPLE,Positive,41,thank helping people
